Loại nhà,Vị trí,Diện tích,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số phòng tắm,Trình trạng pháp lý,Nội thất,Giá,Address
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,5,20,Đông - Nam,Đông - Nam,3,4,4,Have certificate,Full,8.7,"Dự án Rio Vista, Đường Dương Đình Hội, Phường Phước Long B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh."
Chung cư,Quận 12,35,3,3,Tây,Tây,2,2,2,Have certificate,Full,2.78,"Đường Tân Thới Hiệp 21, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh"
Nhà mặt tiền,Huyện Nhà Bè,80,5.85,6,Bắc,Bắc,4,4,5,Have certificate,Full,8.3,"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Hồ Chí Minh"
Nhà hẻm,Quận Bình Thạnh,40,5,4,Nam,Nam,2,2,2,Have certificate,Basic,4.79,"Đường Nơ Trang Long, Phường 7, Quận Bình Thạnh, Hồ Chí Minh"
Nhà hẻm,Quận 7,60,4,3,Bắc,Bắc,2,3,4,Have certificate,Full,4.87,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh"
Chung cư,Quận Thủ Đức (TP. Thủ Đức),34.2,5,5,Tây,Tây,2,2,1,Have certificate,Basic,3.8,"Đường Số 50, Phường Hiệp Huyện Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),91.3,6,6,Đông - Bắc,Đông - Bắc,1,2,2,Have certificate,Basic,9,"Đường 17, Phường Linh Chiểu, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Huyện Nhà Bè,52.2,4,4,Bắc,Bắc,2,4,3,Have certificate,Full,4.19,"1942, Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh"
Nhà hẻm,Quận 8,48.7,5.2,3,Tây - Nam,Tây - Nam,2,3,2,Have certificate,Full,3.89,"Đường Phạm Thế Hiển, Phường 6, Quận 8, Hồ Chí Minh"
Nhà hẻm,Quận Tân Bình,59,4.8,6,Nam,Nam,2,2,2,Have certificate,Full,6.8,"Đường Lạc Long Quân, Phường 8, Quận Tân Bình, Hồ Chí Minh"
Chung cư,Huyện Nhà Bè,32.7,3.27,15,Tây,Tây,2,2,3,Have certificate,Basic,8.15,"Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh"
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,5,12,Tây - Nam,Tây - Nam,3,3,3,Have certificate,Full,8.2,"Dự án Park Riverside Tân Cảng, Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận Gò Vấp,75,4,4,Đông - Nam,Đông - Nam,4,6,7,Have certificate,Full,7.5,"Đường Lê Quang Định, Phường 1, Quận Gò Vấp, Hồ Chí Minh"
Nhà mặt tiền,Quận 12,70.2,4,10,Đông - Nam,Đông - Nam,4,4,3,Have certificate,Full,7.9,"Đường Tân Thới Nhất 25, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh"
Chung cư,Quận Bình Tân,39,4,6,Tây - Bắc,Tây - Bắc,2,2,2,Have certificate,Full,3.95,"Đường 26/3, Phường Bình Hưng Hòa, Quận Bình Tân, Hồ Chí Minh."
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,5,12,Đông - Nam,Đông - Nam,2,3,3,Have certificate,Basic,7.2,"Dự án Mega Village, Đường Vành Đai 2, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),82.5,5,12,Tây,Tây,3,3,3,Have certificate,Full,9.3,"Dự án Mega Ruby, Đường D3, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),80,5,12,Nam,Nam,3,4,3,Have certificate,Full,9.1,"Dự án Mega Ruby, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Biệt thự,Quận Gò Vấp,100,6,6,Tây,Tây,2,6,4,Have certificate,Full,7.5,"Đường Thống Nhất, Phường 15, Quận Gò Vấp, Hồ Chí Minh"
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),60,4,5,Đông - Nam,Đông - Nam,2,3,4,Have certificate,Basic,5.2,"Đường Số 12, Phường Tam Bình, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Biệt thự,Quận 9 (TP. Thủ Đức),100,5,12,Bắc,Bắc,3,4,5,Have certificate,Basic,6.5,"Dự án Đông Tăng Long, Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Biệt thự,Quận 9 (TP. Thủ Đức),108,6,20,Nam,Nam,3,4,5,Have certificate,Full,9.5,"Dự án Melosa Garden, Đường Vành Đai Trong, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Chung cư,Quận 12,25,3,3,Tây,Tây,2,2,2,Have certificate,Full,2.58,"Đường Trường Chinh, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,54,4.5,5,Nam,Nam,2,2,2,Have certificate,Full,2.73,"Đường Bình Thành, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh"
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),120,7,5,Đông - Nam,Đông - Nam,2,3,2,Have certificate,Basic,7.5,"Đường Số 31, Phường Bình Trưng Đông, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận Gò Vấp,72,4,6,Đông - Nam,Đông - Nam,4,4,5,Have certificate,Full,9.85,"Đường Số 5, Phường 17, Quận Gò Vấp, Hồ Chí Minh"
Chung cư,Quận 12,22,2.5,5,Tây,Tây,2,2,2,Have certificate,Full,2.35,"Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),60,4,8,Tây - Bắc,Tây - Bắc,4,4,5,Have certificate,Basic,8.1,"Đường Số 9, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận Tân Phú,73,4.2,12,Đông,Đông,3,4,2,Have certificate,Full,8.8,"Đường Bác Ái, Phường Tân Thành, Quận Tân Phú, Hồ Chí Minh"
Nhà hẻm,Huyện Nhà Bè,58.7,4.2,6,Tây,Tây,3,4,5,Have certificate,Full,5.49,"1979, Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh"
Nhà hẻm,Quận 11,40.3,4.5,4,Nam,Nam,2,2,2,Have certificate,Basic,4.35,"129/1M14, Đường Lạc Long Quân, Phường 1, Quận 11, Hồ Chí Minh"
Nhà mặt tiền,Quận 2 (TP. Thủ Đức),81.9,5.5,30,Đông - Nam,Đông - Nam,2,3,3,Have certificate,Full,7.7,"Đường Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2 (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận Gò Vấp,75,5,4,Tây - Bắc,Tây - Bắc,2,3,3,Have certificate,Full,5.6,"Đường Số 10, Phường 8, Quận Gò Vấp, Hồ Chí Minh"
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),85,5.5,5,Đông - Nam,Đông - Nam,1,5,5,Have certificate,Full,5,"Đường Man Thiện, Phường Tăng Nhơn Phú A, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,40,4,5,Nam,Nam,3,3,3,Have certificate,Basic,4.5,"Đường Miếu Gò Xoài, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh"
Nhà hẻm,Quận 12,45,3,3,Đông - Nam,Đông - Nam,2,3,2,Have certificate,Basic,2.2,"Đường Thạnh Lộc 47, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh"
Nhà mặt tiền,Quận Tân Phú,91,7,12,Nam,Nam,1,2,2,Have certificate,Basic,8.3,"Đường Nguyễn Hữu Tiến, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh"
Nhà hẻm,Quận 11,50,5,10,Tây - Nam,Tây - Nam,2,2,2,Have certificate,Full,6.8,"Đường Hồng Bàng, Phường 1, Quận 11, Hồ Chí Minh"
Nhà hẻm,Quận 12,58,4,5,Đông - Nam,Đông - Nam,3,3,3,Have certificate,Full,3.95,"Đường Thạnh Lộc 24, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,60,5,7,Bắc,Bắc,5,5,6,Have certificate,Full,6.5,"Đường Hương lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh"
Nhà mặt tiền,Quận 12,65,4.3,8,Nam,Nam,1,1,1,Have certificate,Basic,5.25,"Đường Liên Khu 2-5, Phường Hiệp Thành, Quận 12, Hồ Chí Minh"
Biệt thự,Quận Bình Tân,162,8,20,Nam,Nam,4,7,7,Have certificate,Full,8.4,"Đường Kinh dương Vương, Phường An Lạc, Quận Bình Tân, Hồ Chí Minh"
Nhà mặt tiền,Quận 6,84,4.2,8,Đông - Bắc,Đông - Bắc,2,7,7,Have certificate,Full,6.8,"Đường Cư Xá Phú Lâm B, Phường 13, Quận 6, Hồ Chí Minh"
Nhà mặt tiền,Quận 12,75,6,7,Tây - Bắc,Tây - Bắc,3,3,2,Have certificate,Full,4.95,"Đường Nguyễn Ảnh Thủ, Phường Hiệp Thành, Quận 12, Hồ Chí Minh"
Nhà mặt tiền,Quận Gò Vấp,68,4,12,Đông - Nam,Đông - Nam,5,4,6,Have certificate,Full,8.1,"Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh"
Nhà mặt tiền,Huyện Bình Chánh,75,12,52,Đông - Bắc,Đông - Bắc,3,4,4,Have certificate,Full,8.95,"Dự án Lovera Premier, Đường Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Hồ Chí Minh."
Nhà hẻm,Quận Gò Vấp,55,4,4,Đông - Bắc,Đông - Bắc,5,6,6,Have certificate,Basic,6.35,"Đường Phạm Văn Chiêu, Phường 13, Quận Gò Vấp, Hồ Chí Minh"
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),104.3,5,12,Đông - Bắc,Đông - Bắc,2,4,2,Have certificate,Basic,9.9,"Đường Lê Thị Hoa, Phường Bình Chiểu, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận Gò Vấp,49,4,3.5,Đông - Bắc,Đông - Bắc,4,4,3,Have certificate,Basic,5.68,"Đường Quang Trung, Phường 12, Quận Gò Vấp, Hồ Chí Minh"
Chung cư,Quận 6,12,2.5,3,Bắc,Bắc,3,2,2,Have certificate,Full,2.38,"Đường Bà Hom, Phường 13, Quận 6, Hồ Chí Minh"
Nhà hẻm,Quận 12,52.1,12,3,Tây - Bắc,Tây - Bắc,2,3,2,Have certificate,Full,3.45,"Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Hồ Chí Minh"
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),70,4,20,Đông - Bắc,Đông - Bắc,1,1,1,Have certificate,Full,7.5,"Đường Gò Dưa, Phường Tam Bình, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),48,4,3,Đông - Nam,Đông - Nam,3,4,3,Sale contract,Full,2.6,"Đường Số 38, Phường Hiệp Huyện Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,57,4.2,3,Bắc,Bắc,3,4,3,Have certificate,Full,4.7,"934/11, Đường Tỉnh Lộ 10, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh"
Nhà hẻm,Quận Tân Bình,60,4,8,Tây - Nam,Tây - Nam,4,4,5,Have certificate,Full,7.45,"Đường Trần Thị Trọng, Phường 15, Quận Tân Bình, Hồ Chí Minh"
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),71,3.5,5,Đông - Bắc,Đông - Bắc,3,4,4,Have certificate,Basic,5.3,"Đường 185, Phường Phước Long B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận 9 (TP. Thủ Đức),52,5,5,Đông - Bắc,Đông - Bắc,3,4,3,Have certificate,Full,5.5,"Đường 175, Phường Tăng Nhơn Phú B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận Tân Phú,72,4.5,5,Tây - Nam,Tây - Nam,2,2,2,Have certificate,Full,5,"Đường Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh"
Nhà mặt tiền,Quận Gò Vấp,80,6,3,Đông - Nam,Đông - Nam,3,5,5,Have certificate,Full,7,"Đường Thống Nhất, Phường 16, Quận Gò Vấp, Hồ Chí Minh"
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,12,12,Tây - Bắc,Tây - Bắc,3,4,3,Have certificate,Full,9.5,"Dự án Rio Vista, Đường Dương Đình Hội, Phường Phước Long B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),60,4,6,Đông - Nam,Đông - Nam,4,4,6,Have certificate,Full,7.55,"Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Biệt thự,Quận Tân Bình,100,10.2,4,Đông,Tây,1,6,6,Have certificate,Full,9,"Đường Trường Chinh, Phường 15, Quận Tân Bình, Hồ Chí Minh"
Biệt thự,Huyện Bình Chánh,100,5,20,Đông - Nam,Đông - Nam,3,4,5,Have certificate,Full,8,"Dự án 13E Phong Phú, Xã Phong Phú, Huyện Bình Chánh, Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,60.8,4.5,4.5,Tây,Tây,3,3,4,Have certificate,Full,5.2,"Đường Số 11, Phường Bình Hưng Hòa, Quận Bình Tân, Hồ Chí Minh"
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),45,4.5,3,Nam,Nam,2,2,1,Have certificate,Basic,2.4,"Đường Số 5, Phường Linh Xuân, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận Tân Phú,76.4,10.2,6,Đông,Đông,1,2,1,Have certificate,Full,7.6,"Đường Trần Tấn, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh"
Nhà mặt tiền,Quận Bình Tân,70,6,20,Tây,Tây,1,3,2,Sale contract,Basic,6.2,"Dự án The Privia, Đường An Dương Vương, Phường An Lạc, Quận Bình Tân, Hồ Chí Minh"
Nhà hẻm,Quận 7,63.9,4.5,3.5,Nam,Nam,2,2,3,Have certificate,Full,4.99,"Đường Huỳnh Tấn Phát, Phường Quận Tân Phú, Quận 7, Hồ Chí Minh"
Nhà mặt tiền,Huyện Nhà Bè,80,6,6,Tây,Đông,3,4,5,Have certificate,Full,7.5,"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Hồ Chí Minh"
Nhà mặt tiền,Huyện Bình Chánh,85,15,6,Đông,Đông,2,3,2,Have certificate,Basic,3.7,"Dự án The Meadow Huyện Bình Chánh, Đường Trần Văn Giàu, Xã Vĩnh Lộc B, Huyện Bình Chánh, Hồ Chí Minh."
Chung cư,Quận 10,31,6.2,6,Tây - Bắc,Tây - Bắc,3,2,3,Have certificate,Full,6.8,"Đường Tô Hiến Thành, Phường 14, Quận 10, Hồ Chí Minh"
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),51,4.2,12,Tây - Nam,Tây - Nam,2,3,4,Have certificate,Basic,6,"Đường Lê Văn Chí, Phường Linh Trung, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Biệt thự,Quận 9 (TP. Thủ Đức),100,5,20,Nam,Tây - Bắc,3,4,4,Have certificate,Full,8.49,"Dự án Melosa Garden, Đường Vành Đai Trong, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Huyện Nhà Bè,49.5,4.5,4,Tây - Bắc,Tây - Bắc,2,3,2,Have certificate,Basic,3.6,"1942 Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh"
Nhà mặt tiền,Huyện Hóc Môn,80,4,6,Tây - Bắc,Tây - Bắc,3,6,5,Have certificate,Full,6,"Đường Tô Ký 6, Xã Thới Tam Thôn, Huyện Hóc Môn, Hồ Chí Minh"
Chung cư,Quận Gò Vấp,30.6,3,3,Tây - Nam,Tây - Nam,2,2,2,Have certificate,Full,3.88,"Đường Số 4, Phường 16, Quận Gò Vấp, Hồ Chí Minh"
Nhà hẻm,Quận Bình Thạnh,57,5.4,5,Nam,Nam,5,6,6,Have certificate,Full,9.5,"Đường Nơ Trang Long, Phường 13, Quận Bình Thạnh, Hồ Chí Minh"
Nhà mặt tiền,Quận Gò Vấp,72,4,7,Nam,Nam,4,4,5,Have certificate,Full,8.8,"Đường Phan Huy Ích, Phường 12, Quận Gò Vấp, Hồ Chí Minh"
Chung cư,Quận 4,18,4,3,Đông - Bắc,Đông - Bắc,2,1,2,Have certificate,Basic,1.8,"Hẻm 756 Đường Đoàn Văn Bơ, Phường 16, Quận 4, Hồ Chí Minh"
Nhà hẻm,Quận Phú Nhuận,40,4,8,Đông,Đông,2,3,3,Have certificate,Full,5,"Đường Huỳnh Văn Bánh, Phường 15, Quận Phú Nhuận, Hồ Chí Minh"
Nhà hẻm,Quận 11,48,4,20,Đông - Bắc,Đông - Bắc,3,3,3,Have certificate,Full,7.6,"Đường Trịnh Đình Trọng, Phường 5, Quận 11, Hồ Chí Minh"
Chung cư,Quận 10,37,3.6,5,Bắc,Bắc,3,3,1,Have certificate,Basic,9,"Đường Nguyễn Lâm, Phường 6, Quận 10, Hồ Chí Minh"
Biệt thự,Quận 9 (TP. Thủ Đức),100,5,16,Bắc,Bắc,3,4,4,Have certificate,Basic,8.9,"Dự án Centana City Điền Phúc Thành, Phường Long Trường, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Huyện Nhà Bè,91.2,6.5,8,Tây - Nam,Tây - Nam,4,4,6,Have certificate,Full,9.5,"Dự án Green Riverside, Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Hồ Chí Minh"
Chung cư,Quận Gò Vấp,37,5,5,Bắc,Bắc,4,4,3,Have certificate,Full,4.65,"Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh"
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),56,4,8,Tây - Bắc,Tây - Bắc,5,4,4,Have certificate,Full,8.2,"Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),88,4,10,Bắc,Bắc,2,2,2,Sale contract,Basic,8.2,"Đường Số 4, Phường Phước Bình, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Huyện Bình Chánh,74.1,12,25,Tây,Tây,2,3,3,Have certificate,Basic,7.9,"Dự án Camellia Garden, Đường Số 1, Xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh"
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,5,20,Tây - Nam,Tây - Nam,3,4,3,Have certificate,Full,7.1,"Dự án Mega Village, Đường Võ Chí Công, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Chung cư,Quận 12,38.8,4,6,Đông - Bắc,Đông - Bắc,2,2,2,Have certificate,Full,3.59,"Đường Hiệp Thành 42, Phường Hiệp Thành, Quận 12, Hồ Chí Minh"
Biệt thự,Quận 9 (TP. Thủ Đức),104,4,12,Đông - Nam,Đông - Nam,2,2,2,Have certificate,Full,8.1,"Đường Số 11, Phường Phước Bình, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Chung cư,Quận 10,26.9,4.7,10,Tây,Tây,4,3,4,Have certificate,Basic,8.3,"Hẻm 606, Đường 3/2, Phường 14, Quận 10, Hồ Chí Minh."
Nhà mặt tiền,Quận 12,82.5,5,10,Tây - Nam,Tây - Nam,5,5,6,Have certificate,Basic,7,"Đường Hương Lộ 80B, Phường Hiệp Thành, Quận 12, Hồ Chí Minh"
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),90,7.5,20,Tây - Nam,Tây - Nam,3,3,3,Have certificate,Full,8.5,"Dự án Mega Village, Đường Võ Chí Công, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),82.6,5,20,Tây,Tây,3,4,3,Have certificate,Full,9.3,"Dự án Mega Ruby, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận Gò Vấp,67,5,8,Đông - Nam,Đông - Nam,3,3,3,Have certificate,Basic,7.6,"Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Hồ Chí Minh"
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),82.5,6,5,Tây,Tây,2,2,2,Have certificate,Full,8,"22, Đường Số 22, Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận Bình Tân,64,4,6,Đông,Đông,3,3,4,Have certificate,Basic,6.3,"Đường Lê Văn Quới, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh"
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),109,5.6,4,Đông - Nam,Đông - Nam,2,3,2,Have certificate,Full,9.3,"Đường Số 14, Phường Linh Chiểu, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận 7,60.7,4,8,Tây - Nam,Đông - Bắc,4,4,5,Have certificate,Full,6.5,"502/, Đường Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, Hồ Chí Minh"
Nhà hẻm,Quận Gò Vấp,56,8,3,Bắc,Bắc,4,4,3,Have certificate,Full,6.5,"Hẻm 256, Đường Phan Huy Ích, Phường 12, Quận Gò Vấp, Hồ Chí Minh"
Nhà mặt tiền,Quận Tân Phú,64,4,3,Đông - Bắc,Đông - Bắc,3,4,2,Have certificate,Full,5.4,"Đường Lý Tuệ, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh"
Chung cư,Quận 11,32,3.5,5,Tây - Nam,Tây - Nam,4,5,3,Have certificate,Basic,5.7,"Đường Hàn Hải Nguyên, Phường 9, Quận 11, Hồ Chí Minh"
Nhà mặt tiền,Quận 7,70,3.6,6,Tây - Nam,Tây - Nam,5,6,8,Have certificate,Full,8.88,"Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Hồ Chí Minh"
Nhà hẻm,Quận 12,52.5,4,5,Tây - Bắc,Tây - Bắc,3,4,3,Have certificate,Basic,5.2,"Đường An Phú Đông 1, Phường An Phú Đông, Quận 12, Hồ Chí Minh"
Nhà hẻm,Huyện Nhà Bè,56,4.6,6,Đông - Bắc,Đông - Bắc,4,4,5,Have certificate,Full,6.6,"Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh"
Nhà hẻm,Quận Bình Thạnh,52,6,6,Bắc,Bắc,2,4,4,Have certificate,Basic,7.2,"Đường Xô Viết Nghệ Tĩnh, Phường 21, Quận Bình Thạnh, Hồ Chí Minh"
Nhà hẻm,Quận 12,50,11,11,Đông - Nam,Đông - Nam,4,4,5,Have certificate,Full,4.55,"Phường Thạnh Xuân, Quận 12, Hồ Chí Minh"
Nhà mặt tiền,Quận Tân Bình,70,3.6,5,Đông - Nam,Đông - Nam,2,2,2,Have certificate,Basic,8.3,"Đường Bình Giã, Phường 13, Quận Tân Bình, Hồ Chí Minh"
Nhà hẻm,Huyện Nhà Bè,55.3,4.6,6,Đông - Bắc,Đông - Bắc,4,4,3,Have certificate,Full,6.5,"Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh"
Nhà mặt tiền,Huyện Nhà Bè,80.3,7.3,7,Tây - Nam,Tây - Nam,4,4,5,Have certificate,Full,6.5,"Đường Nguyễn Bình, Xã Nhơn Đức, Huyện Nhà Bè, Hồ Chí Minh"
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),168,5.27,7,Tây - Bắc,Tây - Bắc,1,1,1,Have certificate,Full,9.5,"Đường 26, Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Chung cư,Quận Bình Thạnh,32,2.9,2.5,Đông - Nam,Đông - Nam,2,2,2,Have certificate,Full,4.45,"Đường  Vạn Kiếp, Phường 3, Quận Bình Thạnh, Hồ Chí Minh"
Nhà hẻm,Quận 7,53.2,4,4,Đông - Nam,Đông - Nam,2,2,3,Have certificate,Full,4.8,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh"
Biệt thự,Huyện Hóc Môn,150,5,20,Đông - Nam,Đông - Nam,1,2,1,Have certificate,Full,7.5,"Đường Phạm Thị Giây, Xã Thới Tam Thôn, Huyện Hóc Môn, Hồ Chí Minh"
Nhà hẻm,Quận Bình Thạnh,53,4.7,6,Đông,Đông,4,4,4,Have certificate,Basic,9.4,"Đường Chu Văn An, Phường 12, Quận Bình Thạnh, Hồ Chí Minh"
Nhà hẻm,Quận Gò Vấp,51,4.6,6,Nam,Nam,6,4,5,Have certificate,Full,6.5,"Đường Lê Đức Thọ, Phường 13, Quận Gò Vấp, Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,40,4,8,Tây - Bắc,Tây - Bắc,2,2,2,Have certificate,Full,4.1,"Đường Miếu Gò Xoài, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh"
Chung cư,Quận Bình Tân,35,5,4,Tây,Tây,3,3,3,Have certificate,Full,2.58,"Hẻm 229, Đường Liên khu 4-5, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh"
Nhà hẻm,Quận Gò Vấp,56,4,5,Tây,Tây,4,5,3,Have certificate,Basic,6.6,"Đường Số 20, Phường 9, Quận Gò Vấp, Hồ Chí Minh"
Biệt thự,Huyện Nhà Bè,161.8,6,6,Đông,Đông,2,3,2,Have certificate,Full,6.5,"Đường Nguyễn Văn Ràng, Xã Phước Lộc, Huyện Nhà Bè, Hồ Chí Minh"
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),80,5,5,Tây - Bắc,Tây - Bắc,4,4,5,Have certificate,Full,8.6,"Đường 5, Phường Linh Chiểu, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận 7,50,4,5,Đông,Đông - Nam,2,2,2,Have certificate,Full,5.6,"Đường  Trần Xuân Soạn, Phường Tân Kiểng, Quận 7, Hồ Chí Minh"
Nhà hẻm,Quận Tân Bình,43.1,4,16,Tây,Tây,2,2,2,Have certificate,Full,8.6,"Đường Nhất Chi Mai, Phường 13, Quận Tân Bình, Hồ Chí Minh"
