Loại nhà,Vị trí,Diện tích,Số phòng ngủ,Số tầng,Giá,,,,Số phòng tắm,Trình trạng pháp lý,Nội thất,,Address,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công
Nhà mặt tiền,Quận Bình Tân,72,4,3,5.99,,,,3,Have certificate,Basic,,"Đường Hương lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh",4,8,Tây,Tây
Nhà hẻm,Quận Bình Tân,50,3,3,4.5,,,,2,Have certificate,Full,,"Đường Đất Mới, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh",10,5,Đông,Đông
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),53.8,3,4,4.7,,,,3,Have certificate,Full,,"Đường 12, Phường Trường Thạnh, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4.5,8,Đông - Bắc,Đông
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),68,4,3,6.5,,,,5,Have certificate,Full,,"Đường 35, Phường Hiệp Huyện Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4,4,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Bình Tân,40,2,2,2.35,,,,2,Have certificate,Full,,"Đường Hồ Văn Long, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh",4,5,Tây,Tây
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),91,5,3,4.8,,,,4,Have certificate,Basic,,"Đường 13, Phường Bình Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",6,2,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận Bình Tân,64,4,3,6.48,,,,4,Have certificate,Full,,"Đường Số 8, Phường An Lạc, Quận Bình Tân, Hồ Chí Minh",4,6,Bắc,Bắc
Nhà mặt tiền,Huyện Bình Chánh,90,4,3,6.9,,,,4,Sale contract,Basic,,"Dự án The Meadow Huyện Bình Chánh, Đường Trần Văn Giàu, Xã Vĩnh Lộc B, Huyện Bình Chánh, Hồ Chí Minh",6,8,Tây - Bắc,Đông - Nam
Biệt thự,Huyện Hóc Môn,250,4,2,8.2,,,,4,Have certificate,Full,,"Đường Huỳnh Thị Na, Xã  Đông Thạnh, Huyện Hóc Môn, Hồ Chí Minh",8.2,12,Tây,Tây
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,4,3,8.7,,,,4,Have certificate,Full,,"Dự án Rio Vista, Đường Dương Đình Hội, Phường Phước Long B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh.",5,20,Đông - Nam,Đông - Nam
Chung cư,Quận 12,35,2,2,2.78,,,,2,Have certificate,Full,,"Đường Tân Thới Hiệp 21, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",3,3,Tây,Tây
Nhà mặt tiền,Huyện Nhà Bè,80,4,4,8.3,,,,5,Have certificate,Full,,"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Hồ Chí Minh",5.85,6,Bắc,Bắc
Nhà hẻm,Quận Bình Thạnh,40,2,2,4.79,,,,2,Have certificate,Basic,,"Đường Nơ Trang Long, Phường 7, Quận Bình Thạnh, Hồ Chí Minh",5,4,Nam,Nam
Nhà hẻm,Quận 7,60,3,2,4.87,,,,4,Have certificate,Full,,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",4,3,Bắc,Bắc
Chung cư,Quận Thủ Đức (TP. Thủ Đức),34.2,2,2,3.8,,,,1,Have certificate,Basic,,"Đường Số 50, Phường Hiệp Huyện Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",5,5,Tây,Tây
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),91.3,2,1,9,,,,2,Have certificate,Basic,,"Đường 17, Phường Linh Chiểu, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",6,6,Đông - Bắc,Đông - Bắc
Nhà hẻm,Huyện Nhà Bè,52.2,4,2,4.19,,,,3,Have certificate,Full,,"1942, Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",4,4,Bắc,Bắc
Nhà hẻm,Quận 8,48.7,3,2,3.89,,,,2,Have certificate,Full,,"Đường Phạm Thế Hiển, Phường 6, Quận 8, Hồ Chí Minh",5.2,3,Tây - Nam,Tây - Nam
Nhà hẻm,Quận Tân Bình,59,2,2,6.8,,,,2,Have certificate,Full,,"Đường Lạc Long Quân, Phường 8, Quận Tân Bình, Hồ Chí Minh",4.8,6,Nam,Nam
Chung cư,Huyện Nhà Bè,32.7,2,2,8.15,,,,3,Have certificate,Basic,,"Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",3.27,15,Tây,Tây
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,3,3,8.2,,,,3,Have certificate,Full,,"Dự án Park Riverside Tân Cảng, Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5,12,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận Gò Vấp,75,6,4,7.5,,,,7,Have certificate,Full,,"Đường Lê Quang Định, Phường 1, Quận Gò Vấp, Hồ Chí Minh",4,4,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận 12,70.2,4,4,7.9,,,,3,Have certificate,Full,,"Đường Tân Thới Nhất 25, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",4,10,Đông - Nam,Đông - Nam
Chung cư,Quận Bình Tân,39,2,2,3.95,,,,2,Have certificate,Full,,"Đường 26/3, Phường Bình Hưng Hòa, Quận Bình Tân, Hồ Chí Minh.",4,6,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,3,2,7.2,,,,3,Have certificate,Basic,,"Dự án Mega Village, Đường Vành Đai 2, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5,12,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),82.5,3,3,9.3,,,,3,Have certificate,Full,,"Dự án Mega Ruby, Đường D3, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5,12,Tây,Tây
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),80,4,3,9.1,,,,3,Have certificate,Full,,"Dự án Mega Ruby, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5,12,Nam,Nam
Biệt thự,Quận Gò Vấp,100,6,2,7.5,,,,4,Have certificate,Full,,"Đường Thống Nhất, Phường 15, Quận Gò Vấp, Hồ Chí Minh",6,6,Tây,Tây
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),60,3,2,5.2,,,,4,Have certificate,Basic,,"Đường Số 12, Phường Tam Bình, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4,5,Đông - Nam,Đông - Nam
Biệt thự,Quận 9 (TP. Thủ Đức),100,4,3,6.5,,,,5,Have certificate,Basic,,"Dự án Đông Tăng Long, Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5,12,Bắc,Bắc
Biệt thự,Quận 9 (TP. Thủ Đức),108,4,3,9.5,,,,5,Have certificate,Full,,"Dự án Melosa Garden, Đường Vành Đai Trong, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",6,20,Nam,Nam
Chung cư,Quận 12,25,2,2,2.58,,,,2,Have certificate,Full,,"Đường Trường Chinh, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",3,3,Tây,Tây
Nhà hẻm,Quận Bình Tân,54,2,2,2.73,,,,2,Have certificate,Full,,"Đường Bình Thành, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh",4.5,5,Nam,Nam
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),120,3,2,7.5,,,,2,Have certificate,Basic,,"Đường Số 31, Phường Bình Trưng Đông, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",7,5,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận Gò Vấp,72,4,4,9.85,,,,5,Have certificate,Full,,"Đường Số 5, Phường 17, Quận Gò Vấp, Hồ Chí Minh",4,6,Đông - Nam,Đông - Nam
Chung cư,Quận 12,22,2,2,2.35,,,,2,Have certificate,Full,,"Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",2.5,5,Tây,Tây
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),60,4,4,8.1,,,,5,Have certificate,Basic,,"Đường Số 9, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4,8,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Quận Tân Phú,73,4,3,8.8,,,,2,Have certificate,Full,,"Đường Bác Ái, Phường Tân Thành, Quận Tân Phú, Hồ Chí Minh",4.2,12,Đông,Đông
Nhà hẻm,Huyện Nhà Bè,58.7,4,3,5.49,,,,5,Have certificate,Full,,"1979, Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",4.2,6,Tây,Tây
Nhà hẻm,Quận 11,40.3,2,2,4.35,,,,2,Have certificate,Basic,,"129/1M14, Đường Lạc Long Quân, Phường 1, Quận 11, Hồ Chí Minh",4.5,4,Nam,Nam
Nhà mặt tiền,Quận 2 (TP. Thủ Đức),81.9,3,2,7.7,,,,3,Have certificate,Full,,"Đường Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2 (TP. Thủ Đức), Hồ Chí Minh",5.5,30,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận Gò Vấp,75,3,2,5.6,,,,3,Have certificate,Full,,"Đường Số 10, Phường 8, Quận Gò Vấp, Hồ Chí Minh",5,4,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),85,5,1,5,,,,5,Have certificate,Full,,"Đường Man Thiện, Phường Tăng Nhơn Phú A, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5.5,5,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Bình Tân,40,3,3,4.5,,,,3,Have certificate,Basic,,"Đường Miếu Gò Xoài, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh",4,5,Nam,Nam
Nhà hẻm,Quận 12,45,3,2,2.2,,,,2,Have certificate,Basic,,"Đường Thạnh Lộc 47, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",3,3,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận Tân Phú,91,2,1,8.3,,,,2,Have certificate,Basic,,"Đường Nguyễn Hữu Tiến, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh",7,12,Nam,Nam
Nhà hẻm,Quận 11,50,2,2,6.8,,,,2,Have certificate,Full,,"Đường Hồng Bàng, Phường 1, Quận 11, Hồ Chí Minh",5,10,Tây - Nam,Tây - Nam
Nhà hẻm,Quận 12,58,3,3,3.95,,,,3,Have certificate,Full,,"Đường Thạnh Lộc 24, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",4,5,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Bình Tân,60,5,5,6.5,,,,6,Have certificate,Full,,"Đường Hương lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh",5,7,Bắc,Bắc
Nhà mặt tiền,Quận 12,65,1,1,5.25,,,,1,Have certificate,Basic,,"Đường Liên Khu 2-5, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",4.3,8,Nam,Nam
Biệt thự,Quận Bình Tân,162,7,4,8.4,,,,7,Have certificate,Full,,"Đường Kinh dương Vương, Phường An Lạc, Quận Bình Tân, Hồ Chí Minh",8,20,Nam,Nam
Nhà mặt tiền,Quận 6,84,7,2,6.8,,,,7,Have certificate,Full,,"Đường Cư Xá Phú Lâm B, Phường 13, Quận 6, Hồ Chí Minh",4.2,8,Đông - Bắc,Đông - Bắc
Nhà mặt tiền,Quận 12,75,3,3,4.95,,,,2,Have certificate,Full,,"Đường Nguyễn Ảnh Thủ, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",6,7,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Quận Gò Vấp,68,4,5,8.1,,,,6,Have certificate,Full,,"Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh",4,12,Đông - Nam,Đông - Nam
Nhà mặt tiền,Huyện Bình Chánh,75,4,3,8.95,,,,4,Have certificate,Full,,"Dự án Lovera Premier, Đường Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Hồ Chí Minh.",12,52,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận Gò Vấp,55,6,5,6.35,,,,6,Have certificate,Basic,,"Đường Phạm Văn Chiêu, Phường 13, Quận Gò Vấp, Hồ Chí Minh",4,4,Đông - Bắc,Đông - Bắc
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),104.3,4,2,9.9,,,,2,Have certificate,Basic,,"Đường Lê Thị Hoa, Phường Bình Chiểu, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",5,12,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận Gò Vấp,49,4,4,5.68,,,,3,Have certificate,Basic,,"Đường Quang Trung, Phường 12, Quận Gò Vấp, Hồ Chí Minh",4,3.5,Đông - Bắc,Đông - Bắc
Chung cư,Quận 6,12,2,3,2.38,,,,2,Have certificate,Full,,"Đường Bà Hom, Phường 13, Quận 6, Hồ Chí Minh",2.5,3,Bắc,Bắc
Nhà hẻm,Quận 12,52.1,3,2,3.45,,,,2,Have certificate,Full,,"Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",12,3,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),70,1,1,7.5,,,,1,Have certificate,Full,,"Đường Gò Dưa, Phường Tam Bình, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4,20,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),48,4,3,2.6,,,,3,Sale contract,Full,,"Đường Số 38, Phường Hiệp Huyện Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4,3,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Bình Tân,57,4,3,4.7,,,,3,Have certificate,Full,,"934/11, Đường Tỉnh Lộ 10, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh",4.2,3,Bắc,Bắc
Nhà hẻm,Quận Tân Bình,60,4,4,7.45,,,,5,Have certificate,Full,,"Đường Trần Thị Trọng, Phường 15, Quận Tân Bình, Hồ Chí Minh",4,8,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),71,4,3,5.3,,,,4,Have certificate,Basic,,"Đường 185, Phường Phước Long B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",3.5,5,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận 9 (TP. Thủ Đức),52,4,3,5.5,,,,3,Have certificate,Full,,"Đường 175, Phường Tăng Nhơn Phú B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5,5,Đông - Bắc,Đông - Bắc
Nhà mặt tiền,Quận Tân Phú,72,2,2,5,,,,2,Have certificate,Full,,"Đường Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh",4.5,5,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận Gò Vấp,80,5,3,7,,,,5,Have certificate,Full,,"Đường Thống Nhất, Phường 16, Quận Gò Vấp, Hồ Chí Minh",6,3,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,4,3,9.5,,,,3,Have certificate,Full,,"Dự án Rio Vista, Đường Dương Đình Hội, Phường Phước Long B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",12,12,Tây - Bắc,Tây - Bắc
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),60,4,4,7.55,,,,6,Have certificate,Full,,"Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4,6,Đông - Nam,Đông - Nam
Biệt thự,Quận Tân Bình,100,6,1,9,,,,6,Have certificate,Full,,"Đường Trường Chinh, Phường 15, Quận Tân Bình, Hồ Chí Minh",10.2,4,Đông,Tây
Biệt thự,Huyện Bình Chánh,100,4,3,8,,,,5,Have certificate,Full,,"Dự án 13E Phong Phú, Xã Phong Phú, Huyện Bình Chánh, Hồ Chí Minh",5,20,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Bình Tân,60.8,3,3,5.2,,,,4,Have certificate,Full,,"Đường Số 11, Phường Bình Hưng Hòa, Quận Bình Tân, Hồ Chí Minh",4.5,4.5,Tây,Tây
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),45,2,2,2.4,,,,1,Have certificate,Basic,,"Đường Số 5, Phường Linh Xuân, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4.5,3,Nam,Nam
Nhà mặt tiền,Quận Tân Phú,76.4,2,1,7.6,,,,1,Have certificate,Full,,"Đường Trần Tấn, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh",10.2,6,Đông,Đông
Nhà mặt tiền,Quận Bình Tân,70,3,1,6.2,,,,2,Sale contract,Basic,,"Dự án The Privia, Đường An Dương Vương, Phường An Lạc, Quận Bình Tân, Hồ Chí Minh",6,20,Tây,Tây
Nhà hẻm,Quận 7,63.9,2,2,4.99,,,,3,Have certificate,Full,,"Đường Huỳnh Tấn Phát, Phường Quận Tân Phú, Quận 7, Hồ Chí Minh",4.5,3.5,Nam,Nam
Nhà mặt tiền,Huyện Nhà Bè,80,4,3,7.5,,,,5,Have certificate,Full,,"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Hồ Chí Minh",6,6,Tây,Đông
Nhà mặt tiền,Huyện Bình Chánh,85,3,2,3.7,,,,2,Have certificate,Basic,,"Dự án The Meadow Huyện Bình Chánh, Đường Trần Văn Giàu, Xã Vĩnh Lộc B, Huyện Bình Chánh, Hồ Chí Minh.",15,6,Đông,Đông
Chung cư,Quận 10,31,2,3,6.8,,,,3,Have certificate,Full,,"Đường Tô Hiến Thành, Phường 14, Quận 10, Hồ Chí Minh",6.2,6,Tây - Bắc,Tây - Bắc
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),51,3,2,6,,,,4,Have certificate,Basic,,"Đường Lê Văn Chí, Phường Linh Trung, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4.2,12,Tây - Nam,Tây - Nam
Biệt thự,Quận 9 (TP. Thủ Đức),100,4,3,8.49,,,,4,Have certificate,Full,,"Dự án Melosa Garden, Đường Vành Đai Trong, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5,20,Nam,Tây - Bắc
Nhà hẻm,Huyện Nhà Bè,49.5,3,2,3.6,,,,2,Have certificate,Basic,,"1942 Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",4.5,4,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Huyện Hóc Môn,80,6,3,6,,,,5,Have certificate,Full,,"Đường Tô Ký 6, Xã Thới Tam Thôn, Huyện Hóc Môn, Hồ Chí Minh",4,6,Tây - Bắc,Tây - Bắc
Chung cư,Quận Gò Vấp,30.6,2,2,3.88,,,,2,Have certificate,Full,,"Đường Số 4, Phường 16, Quận Gò Vấp, Hồ Chí Minh",3,3,Tây - Nam,Tây - Nam
Nhà hẻm,Quận Bình Thạnh,57,6,5,9.5,,,,6,Have certificate,Full,,"Đường Nơ Trang Long, Phường 13, Quận Bình Thạnh, Hồ Chí Minh",5.4,5,Nam,Nam
Nhà mặt tiền,Quận Gò Vấp,72,4,4,8.8,,,,5,Have certificate,Full,,"Đường Phan Huy Ích, Phường 12, Quận Gò Vấp, Hồ Chí Minh",4,7,Nam,Nam
Chung cư,Quận 4,18,1,2,1.8,,,,2,Have certificate,Basic,,"Hẻm 756 Đường Đoàn Văn Bơ, Phường 16, Quận 4, Hồ Chí Minh",4,3,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận Phú Nhuận,40,3,2,5,,,,3,Have certificate,Full,,"Đường Huỳnh Văn Bánh, Phường 15, Quận Phú Nhuận, Hồ Chí Minh",4,8,Đông,Đông
Nhà hẻm,Quận 11,48,3,3,7.6,,,,3,Have certificate,Full,,"Đường Trịnh Đình Trọng, Phường 5, Quận 11, Hồ Chí Minh",4,20,Đông - Bắc,Đông - Bắc
Chung cư,Quận 10,37,3,3,9,,,,1,Have certificate,Basic,,"Đường Nguyễn Lâm, Phường 6, Quận 10, Hồ Chí Minh",3.6,5,Bắc,Bắc
Biệt thự,Quận 9 (TP. Thủ Đức),100,4,3,8.9,,,,4,Have certificate,Basic,,"Dự án Centana City Điền Phúc Thành, Phường Long Trường, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5,16,Bắc,Bắc
Nhà mặt tiền,Huyện Nhà Bè,91.2,4,4,9.5,,,,6,Have certificate,Full,,"Dự án Green Riverside, Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Hồ Chí Minh",6.5,8,Tây - Nam,Tây - Nam
Chung cư,Quận Gò Vấp,37,4,4,4.65,,,,3,Have certificate,Full,,"Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh",5,5,Bắc,Bắc
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),56,4,5,8.2,,,,4,Have certificate,Full,,"Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4,8,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),88,2,2,8.2,,,,2,Sale contract,Basic,,"Đường Số 4, Phường Phước Bình, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",4,10,Bắc,Bắc
Nhà mặt tiền,Huyện Bình Chánh,74.1,3,2,7.9,,,,3,Have certificate,Basic,,"Dự án Camellia Garden, Đường Số 1, Xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh",12,25,Tây,Tây
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,4,3,7.1,,,,3,Have certificate,Full,,"Dự án Mega Village, Đường Võ Chí Công, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5,20,Tây - Nam,Tây - Nam
Chung cư,Quận 12,38.8,2,2,3.59,,,,2,Have certificate,Full,,"Đường Hiệp Thành 42, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",4,6,Đông - Bắc,Đông - Bắc
Biệt thự,Quận 9 (TP. Thủ Đức),104,2,2,8.1,,,,2,Have certificate,Full,,"Đường Số 11, Phường Phước Bình, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",4,12,Đông - Nam,Đông - Nam
Chung cư,Quận 10,26.9,3,4,8.3,,,,4,Have certificate,Basic,,"Hẻm 606, Đường 3/2, Phường 14, Quận 10, Hồ Chí Minh.",4.7,10,Tây,Tây
Nhà mặt tiền,Quận 12,82.5,5,5,7,,,,6,Have certificate,Basic,,"Đường Hương Lộ 80B, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",5,10,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),90,3,3,8.5,,,,3,Have certificate,Full,,"Dự án Mega Village, Đường Võ Chí Công, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",7.5,20,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),82.6,4,3,9.3,,,,3,Have certificate,Full,,"Dự án Mega Ruby, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5,20,Tây,Tây
Nhà mặt tiền,Quận Gò Vấp,67,3,3,7.6,,,,3,Have certificate,Basic,,"Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Hồ Chí Minh",5,8,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),82.5,2,2,8,,,,2,Have certificate,Full,,"22, Đường Số 22, Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",6,5,Tây,Tây
Nhà mặt tiền,Quận Bình Tân,64,3,3,6.3,,,,4,Have certificate,Basic,,"Đường Lê Văn Quới, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh",4,6,Đông,Đông
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),109,3,2,9.3,,,,2,Have certificate,Full,,"Đường Số 14, Phường Linh Chiểu, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",5.6,4,Đông - Nam,Đông - Nam
Nhà hẻm,Quận 7,60.7,4,4,6.5,,,,5,Have certificate,Full,,"502/, Đường Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, Hồ Chí Minh",4,8,Tây - Nam,Đông - Bắc
Nhà hẻm,Quận Gò Vấp,56,4,4,6.5,,,,3,Have certificate,Full,,"Hẻm 256, Đường Phan Huy Ích, Phường 12, Quận Gò Vấp, Hồ Chí Minh",8,3,Bắc,Bắc
Nhà mặt tiền,Quận Tân Phú,64,4,3,5.4,,,,2,Have certificate,Full,,"Đường Lý Tuệ, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh",4,3,Đông - Bắc,Đông - Bắc
Chung cư,Quận 11,32,5,4,5.7,,,,3,Have certificate,Basic,,"Đường Hàn Hải Nguyên, Phường 9, Quận 11, Hồ Chí Minh",3.5,5,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận 7,70,6,5,8.88,,,,8,Have certificate,Full,,"Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",3.6,6,Tây - Nam,Tây - Nam
Nhà hẻm,Quận 12,52.5,4,3,5.2,,,,3,Have certificate,Basic,,"Đường An Phú Đông 1, Phường An Phú Đông, Quận 12, Hồ Chí Minh",4,5,Tây - Bắc,Tây - Bắc
Nhà hẻm,Huyện Nhà Bè,56,4,4,6.6,,,,5,Have certificate,Full,,"Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",4.6,6,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận Bình Thạnh,52,4,2,7.2,,,,4,Have certificate,Basic,,"Đường Xô Viết Nghệ Tĩnh, Phường 21, Quận Bình Thạnh, Hồ Chí Minh",6,6,Bắc,Bắc
Nhà hẻm,Quận 12,50,4,4,4.55,,,,5,Have certificate,Full,,"Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",11,11,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận Tân Bình,70,2,2,8.3,,,,2,Have certificate,Basic,,"Đường Bình Giã, Phường 13, Quận Tân Bình, Hồ Chí Minh",3.6,5,Đông - Nam,Đông - Nam
Nhà hẻm,Huyện Nhà Bè,55.3,4,4,6.5,,,,3,Have certificate,Full,,"Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",4.6,6,Đông - Bắc,Đông - Bắc
Nhà mặt tiền,Huyện Nhà Bè,80.3,4,4,6.5,,,,5,Have certificate,Full,,"Đường Nguyễn Bình, Xã Nhơn Đức, Huyện Nhà Bè, Hồ Chí Minh",7.3,7,Tây - Nam,Tây - Nam
